Day,Power_Generated_MWh,Total_Internal_Cons_MWh,Power_Exported_MWh,System_Losses_MWh,Internal_Demand_MWh,Power_Surplus_MWh,Risk_Level,Operational_Reason
Day 221,122.32,68.24,1.32,52.76,68.24,54.08,HIGH,Deficit likely.
Day 222,122.32,68.24,1.32,52.76,68.24,54.08,HIGH,Deficit likely.
Day 223,122.32,68.24,1.32,52.76,68.24,54.08,HIGH,Deficit likely.
Day 224,122.32,68.24,1.32,52.76,68.24,54.08,HIGH,Deficit likely.
Day 225,122.32,68.24,1.32,52.76,68.24,54.08,HIGH,Deficit likely.
Day 226,122.32,68.24,1.32,52.76,68.24,54.08,HIGH,Deficit likely.
Day 227,122.32,68.24,1.32,52.76,68.24,54.08,HIGH,Deficit likely.
